sobject_id,classification
170806005201287,BIN
170806005201069,BIN
170806004701377,BIN
170806004701346,BIN
170806005201026,BIN
170806004701120,BIN
170806004701205,BIN
170806005201043,BIN
170806004701102,BIN
170806003201274,BIN
170806005201269,BIN
170806004701325,BIN
170806004701284,BIN
170806004701057,BIN
170806004701339,BIN
170806004701174,BIN
170806004701335,BIN
170806004701315,BIN
170806004701230,BIN
170806004701353,BIN
170806005201376,BIN
170806004701255,BIN
170806005801199,BIN
170806003701214,BIN
170806005201351,BIN
170806004701243,BIN
170806004701071,BIN
170806005201399,BIN
170806005801362,BIN
170806004701217,BIN
170806004701077,BIN
170806004201316,BIN
170806001601341,BIN
170806002801040,BIN
170806005201011,BIN
170806004701035,BIN
170806004701342,BIN
170806003701090,BIN
170806005201061,BIN
170806005201128,BIN
170806004701345,BIN
170806003701202,BIN
170806003201124,BIN
170806005201116,BIN
170806004701215,BIN
170806004701333,BIN
170806005201063,BIN
170806004701094,BIN
170806004701168,BIN
170806002101133,BIN
170806005201029,BIN
170806004701021,BIN
170806005201094,BIN
170806004701356,BIN
170806004701172,BIN
170806005201080,BIN
170806005201316,BIN
170806002101353,BIN
170806005201358,BIN
170806005201091,BIN
170806004701090,BIN
150107002201389,BIN
150107003701357,BIN
150107004701187,BIN
150107003201224,BIN
150107004701196,BIN
150107002701004,BIN
150107003701277,BIN
150107004201109,BIN
150107004701284,BIN
150107002701392,BIN
150107002701062,BIN
150107002201269,BIN
150107002201181,BIN
150107003201117,BIN
150107003201027,BIN
150107003701335,BIN
150107003201229,BIN
150107004701263,BIN
150107002701106,BIN
150107003201022,BIN
150107003201114,BIN
150107002201046,BIN
150107004701242,BIN
150107002201205,BIN
150107003701089,BIN
150107003701218,BIN
150107002701374,BIN
150107004201302,BIN
150107004201396,BIN
150107004201277,BIN
150107002701018,BIN
150107004701271,BIN
150107002701064,BIN
150107004701184,BIN
150107003201282,BIN
150107003701073,BIN
150107002201051,BIN
150107003701066,BIN
150107003701258,BIN
150107004201389,BIN
150107004201162,BIN
131218001901095,BIN
131218003001145,BIN
131218002401217,BIN
131218001901397,BIN
131218003001122,BIN
131218001901101,BIN
131218003001231,BIN
131218001901144,BIN
131218001901113,BIN
131218001901017,BIN
131218003001254,BIN
131218001901171,BIN
131218001901388,BIN
131218003001072,BIN
131218003001069,BIN
131218003001065,BIN
160531004601206,BIN
160531002101317,BIN
160531002101009,BIN
160531002601324,BIN
160531004101141,BIN
160531004101198,BIN
160531004601139,BIN
160531004601040,BIN
160531004601078,BIN
160531002601124,BIN
160531002101232,BIN
160531005101113,BIN
160531002601292,BIN
160531002601091,BIN
160531004601111,BIN
160531006101055,BIN
160531003601382,BIN
160531006101240,BIN
160531002601066,BIN
160531001601276,BIN
160531005101213,BIN
160531003601014,BIN
160531002601152,BIN
160531003601159,BIN
160531003601317,BIN
160531006101049,BIN
160531002601031,BIN
160531002101221,BIN
160531003601125,BIN
160531003601095,BIN
160531005601361,BIN
160531004601397,BIN
