sobject_id,FFF
170806004701039,BIN
170806005201017,BIN
170806004701387,BIN
170806005201394,BIN
170806005201097,BIN
170806004701294,BIN
170806004701246,BIN
170806004701081,BIN
170806004701160,BIN
170806004701264,BIN
170806004701108,BIN
170806002101067,BIN
170806005201052,BIN
170806004701181,BIN
170806004701123,BIN
170806005201225,BIN
170806004701072,BIN
170806005201266,BIN
170806004701310,BIN
170806004701328,BIN
170806004701040,BIN
170806005201390,BIN
170806004701131,BIN
170806001601222,BIN
170806002101313,BIN
170806004701360,BIN
170806005201222,BIN
170806004701347,BIN
170806003701283,BIN
170806004701276,BIN
170806004701074,BIN
170806004701034,BIN
170806002801283,BIN
170806004701104,BIN
170806005801255,BIN
170806005201030,BIN
170806004701209,BIN
170806005201237,BIN
170806004701257,BIN
170806005201293,BIN
170806004701317,BIN
170806004701199,BIN
170806005201185,BIN
170806004701283,BIN
170806004701226,BIN
170806005201014,BIN
170806002801354,BIN
170806003201008,BIN
170806004701273,BIN
170806004701165,BIN
170806004701157,BIN
170806004701351,BIN
170806005201049,BIN
170806004701196,BIN
170806004701319,BIN
170806004701305,BIN
170806001601307,BIN
170806005201068,BIN
170806004701313,BIN
170806004701177,BIN
170806004701204,BIN
170806005201287,BIN
170806005201069,BIN
170806004701377,BIN
170806004701346,BIN
170806005201026,BIN
170806004701120,BIN
170806004701205,BIN
170806005201070,BIN
170806005201043,BIN
170806004701369,BIN
170806004701102,BIN
170806004701343,BIN
170806005201028,BIN
170806004701275,BIN
170806005201281,BIN
170806003201274,BIN
170806005201269,BIN
170806004701325,BIN
170806004701284,BIN
170806004701254,BIN
170806004701016,BIN
170806004701057,BIN
170806004701339,BIN
170806004701174,BIN
170806004701335,BIN
170806004701315,BIN
170806004701230,BIN
170806005201385,BIN
170806001601014,BIN
170806005201392,BIN
170806004701353,BIN
170806005201236,BIN
170806005201376,BIN
170806004701255,BIN
170806005801199,BIN
170806003701214,BIN
170806005201351,BIN
170806004701243,BIN
170806005201231,BIN
170806005201230,BIN
170806004701071,BIN
170806005201399,BIN
170806005801362,BIN
170806004701217,BIN
170806004701077,BIN
170806001601341,BIN
170806002801040,BIN
170806004701035,BIN
170806004701342,BIN
170806003701090,BIN
170806005201061,BIN
170806002801034,BIN
170806004701308,BIN
170806004701003,BIN
170806005201128,BIN
170806004701345,BIN
170806003701202,BIN
170806002801119,BIN
170806003201124,BIN
170806005201116,BIN
170806004701215,BIN
170806004701333,BIN
170806005201063,BIN
170806004701026,BIN
170806004701094,BIN
170806004701306,BIN
170806004701168,BIN
170806002101133,BIN
170806001601155,BIN
170806005201029,BIN
170806004701021,BIN
170806005201094,BIN
170806004701356,BIN
170806004701320,BIN
170806004701172,BIN
170806005201080,BIN
170806005201316,BIN
170806004701355,BIN
170806005201122,BIN
170806004701354,BIN
170806001601201,BIN
170806002101353,BIN
170806005201358,BIN
170806005201091,BIN
170806004701090,BIN
170806004701193,BIN
150107004701187,BIN
150107003201224,BIN
150107004701196,BIN
